subject.t0,Reason
Q49163067,No sitelink found
Q91748,No sitelink found
Q744276,No sitelink found
Q830032,No sitelink found
Q1070762,No abstract found
Q1996382,No abstract found
Q2576381,No sitelink found
Q2824824,No sitelink found
Q2827110,No sitelink found
Q2831886,No sitelink found
Q2845049,No sitelink found
Q2848120,No sitelink found
Q2857070,No sitelink found
Q3018733,No sitelink found
Q3085832,No sitelink found
Q3102279,No sitelink found
Q3102480,No sitelink found
Q3108159,No sitelink found
Q3168193,No sitelink found
Q3168576,No sitelink found
Q3170632,No sitelink found
Q3172371,No sitelink found
Q3174096,No sitelink found
Q3174575,No sitelink found
Q3184811,No sitelink found
Q3186437,No sitelink found
Q3188956,No sitelink found
Q3261882,No sitelink found
Q3265711,No sitelink found
Q3288996,No sitelink found
Q3309363,No sitelink found
Q3385325,No sitelink found
Q3386766,No sitelink found
Q3434534,No sitelink found
Q3472997,No sitelink found
Q4295326,No sitelink found
Q12390109,No sitelink found
Q12393098,No sitelink found
Q15630776,No sitelink found
Q15966996,No sitelink found
Q16222625,No sitelink found
Q16526417,No sitelink found
Q16864562,No sitelink found
Q17173409,No sitelink found
Q17350619,No sitelink found
Q18325391,No sitelink found
Q18515543,No sitelink found
Q23062712,No sitelink found
Q23759485,No sitelink found
Q26972971,No sitelink found
Q26981434,No sitelink found
Q29408444,No sitelink found
Q29523113,No sitelink found
Q46996160,No sitelink found
Q18528628,No sitelink found
Q17113839,No sitelink found
Q18012165,No sitelink found
Q11488422,No sitelink found
Q20385759,No sitelink found
Q18538516,No sitelink found
Q19280178,No abstract found
Q47791583,No sitelink found
Q5699529,No sitelink found
Q2435542,No sitelink found
Q5494404,No abstract found
Q19914156,No sitelink found
Q16573329,No sitelink found
Q16668381,No sitelink found
Q1127266,No sitelink found
Q1293610,No sitelink found
Q27922149,No sitelink found
Q3224418,No sitelink found
Q1402962,No sitelink found
Q453347,No sitelink found
Q3231528,No sitelink found
Q50822864,No sitelink found
Q776540,No sitelink found
Q52656732,No sitelink found
Q4115189,No abstract found
Q5423040,No sitelink found
Q138837,No abstract found
Q6452956,No sitelink found
Q33731262,No sitelink found
Q33732325,No sitelink found
Q139319,No abstract found
Q3960415,No sitelink found
Q25441051,No sitelink found
Q10968373,No abstract found
Q11784930,No sitelink found
Q4363361,No sitelink found
Q4734209,No sitelink found
Q33731745,No sitelink found
Q21666169,No sitelink found
Q22078933,No sitelink found
Q1835292,No sitelink found
Q7646307,No sitelink found
Q42345769,No sitelink found
Q5594521,No sitelink found
Q19479137,No sitelink found
Q462298,No abstract found
Q735034,No sitelink found
Q2020264,No sitelink found
Q5409355,No sitelink found
Q10312755,No sitelink found
Q13105221,No sitelink found
Q15136093,No sitelink found
Q16549259,No sitelink found
Q19056769,No sitelink found
Q19587908,No sitelink found
Q27890900,No sitelink found
Q29257495,No sitelink found
Q35275563,No sitelink found
Q43389875,No sitelink found
Q51880015,No sitelink found
Q242964,No abstract found
Q3966728,No sitelink found
Q15710470,No sitelink found
Q21208813,No sitelink found
Q24449693,No sitelink found
Q25936450,No sitelink found
Q27942411,No sitelink found
Q29056748,No sitelink found
Q29842899,No sitelink found
Q47906900,No sitelink found
Q27907509,No sitelink found
Q5736110,No sitelink found
Q18226163,No sitelink found
Q55076472,No sitelink found
Q270138,No sitelink found
Q1472783,No sitelink found
Q2881769,No sitelink found
Q3337177,No abstract found
Q6127555,No sitelink found
Q15056622,No sitelink found
Q18091124,No sitelink found
Q20631658,No sitelink found
Q24070557,No sitelink found
Q26000021,No sitelink found
Q30066282,No sitelink found
Q41310006,No sitelink found
Q42922206,No sitelink found
Q52339315,No sitelink found
Q55233296,No sitelink found
Q232501,No abstract found
Q2713202,No abstract found
Q6175082,No sitelink found
Q28555854,No sitelink found
Q28794204,No sitelink found
Q12739035,No sitelink found
Q16234174,No sitelink found
Q27916777,No sitelink found
Q15731499,No sitelink found
Q137657,No sitelink found
Q16657995,No sitelink found
Q2588647,No sitelink found
Q9300505,No sitelink found
Q42317556,No sitelink found
Q28027525,No sitelink found
Q669951,No sitelink found
Q2679467,No sitelink found
Q2933352,No abstract found
Q12795703,No sitelink found
Q46996682,No sitelink found
Q19479104,No sitelink found
Q19479218,No sitelink found
Q34224327,No sitelink found
Q19479165,No sitelink found
Q28873958,No sitelink found
Q48229108,No sitelink found
Q260718,No sitelink found
Q2104118,No sitelink found
Q9059926,No sitelink found
Q15718868,No sitelink found
Q28919077,No sitelink found
Q42301962,No sitelink found
Q55109249,No sitelink found
Q24137708,No sitelink found
Q242961,No sitelink found
Q43398153,No sitelink found
Q27493751,No sitelink found
Q12949143,No abstract found
Q2591091,No sitelink found
Q106194,No abstract found
Q18759689,No sitelink found
Q15437915,No sitelink found
Q18810161,No sitelink found
Q180061,No abstract found
Q581009,No abstract found
Q856487,No sitelink found
Q961619,No sitelink found
Q1258558,No sitelink found
Q1285267,No sitelink found
Q1355017,No sitelink found
Q1395457,No sitelink found
Q1536961,No sitelink found
Q1729481,No sitelink found
Q2301662,No sitelink found
Q2301978,No abstract found
Q2608419,No abstract found
Q3237901,No sitelink found
Q3356086,No sitelink found
Q4751676,No sitelink found
Q5040942,No abstract found
Q5115823,No abstract found
Q5120564,No sitelink found
Q5496598,No sitelink found
Q5558479,No sitelink found
Q6163094,No abstract found
Q6504221,No abstract found
Q6540467,No sitelink found
Q6712549,No abstract found
Q6886234,No abstract found
Q7313144,No abstract found
Q13243303,No sitelink found
Q17026024,No sitelink found
Q17425770,No sitelink found
Q19956091,No sitelink found
Q24562897,No sitelink found
Q27990688,No sitelink found
Q27990859,No sitelink found
Q42428014,No sitelink found
Q51806818,No sitelink found
Q1318086,No sitelink found
Q12006694,No sitelink found
Q27490970,No sitelink found
Q16222661,No sitelink found
Q1129098,No sitelink found
Q38366566,No abstract found
Q5664681,No sitelink found
Q24578867,No sitelink found
Q1174579,No abstract found
Q1285306,No sitelink found
Q5287679,No sitelink found
Q5370286,No abstract found
Q7436198,No abstract found
Q7647965,No abstract found
Q7807344,No abstract found
Q8666419,No abstract found
Q14914052,No sitelink found
Q27981402,No sitelink found
Q52776328,No sitelink found
Q100448,No sitelink found
Q1400234,No sitelink found
Q54986034,No sitelink found
Q50526643,No sitelink found
Q19717495,No sitelink found
Q136501,No sitelink found
Q145607,No sitelink found
Q148900,No abstract found
Q517937,No abstract found
Q605121,No sitelink found
Q616205,No abstract found
Q913105,No sitelink found
Q1088864,No sitelink found
Q1100628,No sitelink found
Q1146934,No sitelink found
Q1146935,No sitelink found
